成功         success
失败         fail
分区         part
防区         zone
布防         setarm
撤防         disarm
无权限       no_permission
未准备       unready
解除         clear
旁路         bypass
恢复         restore
报警         alarm
未注册       unregistered
遥控器       remoter
ID卡         card
密码         password
进入         enter
退出         exit
延时         delay
请尽快离开   please_exit
或撤防       or_disarm
0            zero
1            one
2            two
3            three
4            four
5            five
6            six
7            seven
8            eight
9            nine
十           ten
百           hundred
留守         stay
外出         away
